approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,25,Dawson's Hill Orchard,Community Orchard,fruits,tree-fruits,51.4081,-0.0606,Historic hill orchard in Bromley.,"Two orchards in the grounds of this ancient site, supported by the Orchard Project. Heritage apple and pear trees.",9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",14,0,0,,dawson.hill.historic,Autumn,,https://www.bromley.gov.uk/parks,Dawson's Hill,Petts Wood,Bromley,Greater London,BR5 1JR
True,,26,High Elms Country Park Orchards,Community Orchard,fruits,tree-fruits,51.3625,-0.0925,Twin orchards in Bromley country park.,"Two heritage orchards in High Elms Country Park supported by the Celebration of Orchards project, featuring rare local apple and pear varieties.",9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",23,0,0,,high.elms.rare,Autumn,,https://www.bromley.gov.uk/parks,High Elms Road,Downe,Bromley,Greater London,BR6 7JL
True,,27,Scadbury Park Heritage Orchard,Community Orchard,fruits,tree-fruits,51.4051,-0.0426,Relic of historic commercial orchards.,"A linear orchard of 20 apple and pear trees – the remnants of extensive commercial orchards grubbed up in the early 1970s, now within Scadbury Park nature reserve.",9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",16,0,0,,scadbury.relic.orchard,Autumn,,https://www.bromley.gov.uk/parks,Scadbury Park,Chislehurst,Bromley,Greater London,BR7 5LT
True,,31,Farnborough Orchard Bromley,Community Orchard,fruits,tree-fruits,51.3614,-0.0648,1-acre mixed orchard in country park.,"A 1-acre orchard with apples, perry pears, quince, cherry, medlar, crab apple and mulberry, planted in the 1990s and managed by the London Borough of Bromley.",9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears, quince, mulberry, medlar",18,0,0,,farnborough.quince.orchard,Autumn,,https://www.bromley.gov.uk/parks,High Elms Road,Farnborough,Bromley,Greater London,BR6 7JL
True,,42,Crystal Palace Park Blackberries,Wild Foraging,fruits,berries,51.4215,-0.0702,Brambles on dinosaur park slopes.,The wilder sloped sections of Crystal Palace Park near the Italian terraces and dinosaur area have good blackberry growth in late summer.,8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,blackberries,36,0,0,,crystal.dino.bramble,Summer,,https://www.bromley.gov.uk/parks,Thicket Road,Crystal Palace,Bromley,Greater London,SE19 2GA
True,,6,Downe Orchard,Community Orchard,fruits,tree-fruits,51.3620,-0.0920,Twin orchards in Bromley country park.,"Two heritage orchards in High Elms Country Park supported by the Celebration of Orchards project, featuring rare local apple and pear varieties.",9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",23,0,0,,high.elms.rare,Autumn,,https://www.bromley.gov.uk/parks,"High Elms Road, Downe",London,Bromley,Greater London,BR6 7JL
True,,7,Dawson's Hill Heritage Orchard,Community Orchard,fruits,tree-fruits,51.4078,-0.0605,Historic hill orchard in Petts Wood.,"Two orchards in the grounds of this ancient site, supported by the Orchard Project. Heritage apple and pear trees.",9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",14,0,0,,dawson.hill.historic,Autumn,,https://www.bromley.gov.uk/parks,"Dawson's Hill, Petts Wood",London,Bromley,Greater London,BR5 1JR
True,,8,Bromley Community Garden 1,Community Garden,nuts,community-garden,51.399,0.0635,Local food growing project in Bromley.,A community project in Bromley growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,herbs,19,0,0,,bromley.garden.69,Spring/Summer,,https://www.bromley.gov.uk/parks,"Local Park, Bromley, Greater London",London,Bromley,Greater London,SW1A 1AA
True,,9,Bromley Community Garden 2,Community Garden,vegetables,community-garden,51.3894,0.0433,Local food growing project in Bromley.,A community project in Bromley growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,wild garlic,11,0,0,,bromley.garden.90,Spring/Summer,,https://www.bromley.gov.uk/parks,"Local Park, Bromley, Greater London",London,Bromley,Greater London,SW1A 1AA
True,,10,Bromley Community Garden 3,Wild Foraging,fruits,street-planters,51.3796,0.0453,Local food growing project in Bromley.,A community project in Bromley growing seasonal produce available for local residents.,4;5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,vegetables,20,0,0,,bromley.garden.91,Spring/Summer,,https://www.bromley.gov.uk/parks,"Local Park, Bromley, Greater London",London,Bromley,Greater London,SW1A 1AA
