approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Western Park Community Orchard,Community Orchard,fruits,tree-fruits,52.632,-1.175,A well-established community orchard featuring many heritage apple varietie...,A well-established community orchard featuring many heritage apple varieties. Managed by local volunteers for public harvesting.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.632,-1.175",Leicester,Leicester,Leicester,Leicestershire,LE3 6HX
True,,2,Incredible Edible Leicester (Market),Urban Foraging,vegetables,street-planters,52.635,-1.132,Community planters located near the historic market area with free herbs an...,Community planters located near the historic market area with free herbs and seasonal vegetables for passers-by.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.635,-1.132",Leicester,Leicester,Leicester,Leicestershire,LE1 5HQ
True,,3,Abbey Park Riverside,River Foraging,wild,river-forage,52.645,-1.135,The banks of the River Soar within Abbey Park offer abundant elderberries a...,The banks of the River Soar within Abbey Park offer abundant elderberries and blackberries in late summer.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.645,-1.135",Leicester,Leicester,Leicester,Leicestershire,LE4 5AQ
True,,4,Knighton Park Woodland,Woodland,wild,woodland,52.598,-1.112,A mix of parkland and woodland providing hazelnuts and seasonal berries alo...,A mix of parkland and woodland providing hazelnuts and seasonal berries along the peripheral trails.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.598,-1.112",Leicester,Leicester,Leicester,Leicestershire,LE2 3RR
True,,5,Evington Park Orchard,Community Orchard,fruits,tree-fruits,52.622,-1.085,"Traditional fruit trees located within the park, open to the public for pic...","Traditional fruit trees located within the park, open to the public for picking in late summer and autumn.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.622,-1.085",Leicester,Leicester,Leicester,Leicestershire,LE5 6DE
True,,6,Grand Union Canal Path,Public Path,wild,hedgerow,52.615,-1.142,Rich canal-side hedgerows between Aylestone and the city center with wild g...,Rich canal-side hedgerows between Aylestone and the city center with wild garlic (spring) and blackberries (autumn).,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.615,-1.142",Leicester,Leicester,Leicester,Leicestershire,LE2 7AU
True,,7,Castle Hill Country Park,Nature Reserve,wild,mixed-forage,52.672,-1.185,"Vast green space on the edge of the city with abundant sloes, rosehips, and...","Vast green space on the edge of the city with abundant sloes, rosehips, and blackberries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.672,-1.185",Leicester,Leicester,Leicester,Leicestershire,LE4 1BY
True,,8,Watermead Country Park,Nature Reserve,wild,mixed-forage,52.685,-1.105,Lakeside paths with heavy crops of elderberries and hawthorn berries in the...,Lakeside paths with heavy crops of elderberries and hawthorn berries in the autumn months.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.685,-1.105",Leicester,Leicester,Leicester,Leicestershire,LE4 7RN
True,,9,Aylestone Meadows Foraging,Nature Reserve,wild,river-forage,52.605,-1.152,"Wetland meadows offering wild mint, wild garlic in spring, and plenty of br...","Wetland meadows offering wild mint, wild garlic in spring, and plenty of brambles for blackberry picking.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.605,-1.152",Leicester,Leicester,Leicester,Leicestershire,LE2 8LT
True,,10,Incredible Edible Stoneygate,Urban Foraging,vegetables,street-planters,52.615,-1.112,"Raised beds on residential streets featuring culinary herbs like rosemary, ...","Raised beds on residential streets featuring culinary herbs like rosemary, thyme, and seasonal greens.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=52.615,-1.112",Leicester,Leicester,Leicester,Leicestershire,LE2 2AD
