approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Meersbrook Park Walled Garden,Community Orchard,fruits,tree-fruits,53.352,-1.475,A historic walled garden and orchard featuring various apple and pear trees...,"A historic walled garden and orchard featuring various apple and pear trees, including local varieties.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.352,-1.475",Sheffield,Sheffield,Sheffield,South Yorkshire,S8 9FL
True,,2,Incredible Edible Sheffield (Abbeydale),Urban Foraging,vegetables,street-planters,53.358,-1.482,Active community planters along Abbeydale Road and surrounding streets with...,Active community planters along Abbeydale Road and surrounding streets with free-to-pick herbs and seasonal vegetables.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.358,-1.482",Sheffield,Sheffield,Sheffield,South Yorkshire,S7 1PN
True,,3,Endcliffe Park Foraging Edges,Public Park,wild,mixed-forage,53.368,-1.505,"Popular park with shaded boundary paths offering wild garlic (spring), elde...","Popular park with shaded boundary paths offering wild garlic (spring), elderberries, and blackberries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.368,-1.505",Sheffield,Sheffield,Sheffield,South Yorkshire,S11 7AB
True,,4,Ecclesall Woods Foraging,Woodland,wild,woodland,53.338,-1.525,"Sheffield's largest ancient woodland. Offers sweet chestnuts, hazelnuts, an...","Sheffield's largest ancient woodland. Offers sweet chestnuts, hazelnuts, and wild garlic in abundance.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.338,-1.525",Sheffield,Sheffield,Sheffield,South Yorkshire,S11 9PX
True,,5,Heeley City Farm Orchard,Community Orchard,fruits,tree-fruits,53.365,-1.472,Community farm with a diverse orchard featuring heritage fruit trees open t...,Community farm with a diverse orchard featuring heritage fruit trees open to visitors.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.365,-1.472",Sheffield,Sheffield,Sheffield,South Yorkshire,S2 3DT
True,,6,Wincobank Hill Foraging,Public Path,wild,mixed-forage,53.418,-1.425,"Historic hill fort area with scrubby margins offering blackberries, elderbe...","Historic hill fort area with scrubby margins offering blackberries, elderberries, and sloes.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.418,-1.425",Sheffield,Sheffield,Sheffield,South Yorkshire,S9 1BT
True,,7,Incredible Edible Sheffield (Nether Edge),Urban Foraging,vegetables,street-planters,53.355,-1.488,"Community growing spots in Nether Edge providing free herbs, salads, and ch...","Community growing spots in Nether Edge providing free herbs, salads, and chard.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.355,-1.488",Sheffield,Sheffield,Sheffield,South Yorkshire,S7 1RU
True,,8,Porter Valley Trail Foraging,Public Path,wild,river-forage,53.352,-1.535,"Linear woodland trail along the Porter Brook with wild garlic, elder, and b...","Linear woodland trail along the Porter Brook with wild garlic, elder, and blackberries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.352,-1.535",Sheffield,Sheffield,Sheffield,South Yorkshire,S11 7TG
True,,9,Shire Brook Valley Foraging,Nature Reserve,wild,mixed-forage,53.342,-1.385,"Nature reserve offering a variety of wild fruit including sloes, blackberri...","Nature reserve offering a variety of wild fruit including sloes, blackberries, and rosehips.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.342,-1.385",Sheffield,Sheffield,Sheffield,South Yorkshire,S13 7BR
True,,10,Incredible Edible Sheffield (Walkley),Urban Foraging,vegetables,street-planters,53.395,-1.495,Raised beds and planters near local shops featuring culinary herbs and seas...,Raised beds and planters near local shops featuring culinary herbs and seasonal greens.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.395,-1.495",Sheffield,Sheffield,Sheffield,South Yorkshire,S6 3TP
