approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Burslem Park Community Orchard,Community Orchard,fruits,tree-fruits,53.044,-2.187,Heritage apple and pear varieties.,"A traditional community orchard in the grounds of Burslem Park featuring heritage apple and pear trees, open for public picking in season.",8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",0,0,0,,orchard.park.burslem,Autumn,,https://www.openstreetmap.org/?mlat=53.044&mlon=-2.187#map=17/53.044/-2.187,Queen Street,Burslem,Stoke-on-Trent,Staffordshire,ST6 3EJ
True,,2,Westport Lake Blackberries,Wild Foraging,fruits,berries,53.049,-2.196,Lakeside bramble picking.,"Extensive blackberry brambles line the footpaths and margins of Westport Lake nature reserve, with good picking from late summer.",8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,blackberries,0,0,0,,lake.path.berry,Summer,,https://www.openstreetmap.org/?mlat=53.049&mlon=-2.196#map=17/53.049/-2.196,Westport Lake Road,Tunstall,Stoke-on-Trent,Staffordshire,ST6 4PB
True,,3,Incredible Edible Burslem Town Planters,Incredible Edible,vegetables,street-planters,53.043,-2.191,Urban growing in the heart of Burslem.,"Community planters around the town centre and market square growing herbs, kale, and salad leaves for all to help themselves.",5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"herbs, kale, salad",0,0,0,,grow.share.market,Summer,,https://www.openstreetmap.org/?mlat=53.043&mlon=-2.191#map=17/53.043/-2.191,Market Place,Burslem,Stoke-on-Trent,Staffordshire,ST6 3AA
True,,4,Trentham Estate Wild Garlic,Wild Foraging,vegetables,wild-greens,52.971,-2.219,Woodland garlic along the valley floor.,"Damp wooded sections of the Trentham Estate and river margins are rich with spring wild garlic, best before the bluebells fade.",3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,wild garlic,0,0,0,,wood.garlic.valley,Spring,,https://www.openstreetmap.org/?mlat=52.971&mlon=-2.219#map=17/52.971/-2.219,Stone Road,Trentham,Stoke-on-Trent,Staffordshire,ST4 8JG
True,,5,Ford Green Nature Reserve Elderberries,Wild Foraging,fruits,berries,53.053,-2.157,Elder along reserve hedgerows.,"Elder bushes are common along the hedgerows and scrub edges of Ford Green Hollow nature reserve, flowering in June and fruiting by September.",6;9,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,elder,0,0,0,,hedge.elder.hollow,Summer/Autumn,,https://www.openstreetmap.org/?mlat=53.053&mlon=-2.157#map=17/53.053/-2.157,Ford Green Road,Smallthorne,Stoke-on-Trent,Staffordshire,ST6 1NX
True,,6,Hanley Park Rosehips and Haws,Wild Foraging,fruits,hedgerow-fruit,53.023,-2.185,Victorian park hedge harvest.,"The wilder boundary hedges of Hanley Park contain abundant rosehips and hawthorn haws come autumn, ideal for syrups and jellies.",9;10,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,"rosehips, haws",0,0,0,,rose.haw.park,Autumn,,https://www.openstreetmap.org/?mlat=53.023&mlon=-2.185#map=17/53.023/-2.185,Old Hall Street,Hanley,Stoke-on-Trent,Staffordshire,ST1 3XA
True,,7,Longton Park Hazelnuts,Wild Foraging,nuts,woodland-nuts,52.990,-2.133,Hazel thickets in the park copses.,"Hazel shrubs in the wilder wooded corners of Longton Park produce a reliable autumn crop of hazelnuts, best gathered in October.",9;10,https://images.unsplash.com/photo-1507750545-0909477b819e?w=512&q=80,hazelnuts,0,0,0,,nut.copse.longton,Autumn,,https://www.openstreetmap.org/?mlat=52.990&mlon=-2.133#map=17/52.990/-2.133,Uttoxeter Road,Longton,Stoke-on-Trent,Staffordshire,ST3 4DU
True,,8,Berryhill Fields Blackberries,Wild Foraging,fruits,berries,53.016,-2.157,Country park bramble trails.,"The open countryside and footpath margins of Berryhill Fields are dotted with productive blackberry bushes throughout late summer.",8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,blackberries,0,0,0,,fields.berry.trail,Summer,,https://www.openstreetmap.org/?mlat=53.016&mlon=-2.157#map=17/53.016/-2.157,Berryhill Road,Bucknall,Stoke-on-Trent,Staffordshire,ST2 9AJ
True,,9,Incredible Edible Longton Street Planters,Incredible Edible,vegetables,street-planters,52.993,-2.133,Community veg in the town centre.,"Raised planters near the covered market feature seasonal vegetables and culinary herbs managed by local volunteers.",5;6;7;8,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"herbs, vegetables",0,0,0,,street.grow.veg,Summer,,https://www.openstreetmap.org/?mlat=52.993&mlon=-2.133#map=17/52.993/-2.133,The Strand,Longton,Stoke-on-Trent,Staffordshire,ST3 2JP
True,,10,Trentham Gardens Sweet Chestnuts,Wild Foraging,nuts,woodland-nuts,52.969,-2.222,Mature chestnut woodland.,"Large sweet chestnut trees in the woodland walks bordering Trentham Gardens produce a generous crop of nuts each October.",10;11,https://images.unsplash.com/photo-1543362906-acfc16c67564?w=512&q=80,chestnuts,0,0,0,,chest.wood.trentham,Autumn,,https://www.openstreetmap.org/?mlat=52.969&mlon=-2.222#map=17/52.969/-2.222,Trentham Road,Trentham,Stoke-on-Trent,Staffordshire,ST4 8AX
True,,11,Lyme Valley Sloes,Wild Foraging,fruits,hedgerow-fruit,53.002,-2.248,Blackthorn hedges along the valley lanes.,"Blackthorn scrub along the quiet lanes and field edges in the Lyme Valley west of the city is excellent for autumn sloe picking.",10;11,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=512&q=80,sloes,0,0,0,,sloe.valley.lane,Autumn,,https://www.openstreetmap.org/?mlat=53.002&mlon=-2.248#map=17/53.002/-2.248,Lyme Valley Road,Clayton,Newcastle-under-Lyme,Staffordshire,ST5 3BQ
True,,12,Fenton Park Wild Damson,Wild Foraging,fruits,tree-fruits,53.002,-2.163,Hedgerow damsons near the park edge.,"Wild damson and bullace trees grow in the hedgerows bounding Fenton Park, providing a classic Staffordshire autumn fruit.",8;9,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"damsons, bullace",0,0,0,,damson.hedge.fenton,Autumn,,https://www.openstreetmap.org/?mlat=53.002&mlon=-2.163#map=17/53.002/-2.163,City Road,Fenton,Stoke-on-Trent,Staffordshire,ST4 2PY
True,,13,Silverdale Community Orchard,Community Orchard,fruits,tree-fruits,53.012,-2.249,Volunteer-run neighbourhood orchard.,"A small community orchard on the edge of Silverdale planted with local apple varieties and a perry pear, maintained by volunteers.",8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, pears",0,0,0,,orchard.silver.share,Autumn,,https://www.openstreetmap.org/?mlat=53.012&mlon=-2.249#map=17/53.012/-2.249,Silverdale Road,Silverdale,Newcastle-under-Lyme,Staffordshire,ST5 6LN
True,,14,Norton Priory Meadow Sorrel and Mint,Wild Foraging,vegetables,wild-greens,53.055,-2.152,Damp meadow wild greens.,Patches of wild sorrel and watermint grow in the damp low-lying meadows and stream margins at the northern edge of Norton.,5;6;7;8,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"sorrel, mint",0,0,0,,meadow.mint.norton,Summer,,https://www.openstreetmap.org/?mlat=53.055&mlon=-2.152#map=17/53.055/-2.152,Norton Lane,Norton,Stoke-on-Trent,Staffordshire,ST6 8HG
True,,15,Meir Park Wild Plums,Wild Foraging,fruits,tree-fruits,52.981,-2.131,Scrubland plums on the estate margins.,"Wild plum and cherry trees are scattered along the scrubby path margins and green corridors of Meir Park estate.",8;9,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"plums, cherries",0,0,0,,plum.scrub.meir,Autumn,,https://www.openstreetmap.org/?mlat=52.981&mlon=-2.131#map=17/52.981/-2.131,Sandon Road,Meir,Stoke-on-Trent,Staffordshire,ST3 7EG
