approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Queens Park Community Orchard,Community Orchard,fruits,tree-fruits,53.582,-2.445,Located within Queens Park. Features heritage apple varieties and pears in ...,Located within Queens Park. Features heritage apple varieties and pears in a beautifully landscaped Victorian park.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.582,-2.445",Bolton,Bolton,Bolton,Greater Manchester,BL1 4RU
True,,2,Incredible Edible Bolton (Victoria Square),Urban Foraging,vegetables,street-planters,53.578,-2.432,Public planters in the heart of the town centre featuring free-to-pick herb...,"Public planters in the heart of the town centre featuring free-to-pick herbs, chard, and seasonal greens.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.578,-2.432",Bolton,Bolton,Bolton,Greater Manchester,BL1 1RU
True,,3,Moss Bank Park Edible Garden,Community Orchard,fruits,mixed-edibles,53.602,-2.465,"A dedicated space for community growing with fruit trees, bushes, and peren...","A dedicated space for community growing with fruit trees, bushes, and perennial vegetables open to the public.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.602,-2.465",Bolton,Bolton,Bolton,Greater Manchester,BL1 6NB
True,,4,Smithills Estate Woodland Foraging,Woodland,wild,woodland,53.612,-2.462,"Extensive Woodland Trust estate offering hazelnuts, sweet chestnuts, and bi...","Extensive Woodland Trust estate offering hazelnuts, sweet chestnuts, and bilberries across the higher slopes.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.612,-2.462",Bolton,Bolton,Bolton,Greater Manchester,BL1 7NP
True,,5,Seven Acres Nature Reserve Foraging,Nature Reserve,wild,mixed-forage,53.588,-2.405,"A green oasis along the Bradshaw Brook offering wild garlic (spring), elder...","A green oasis along the Bradshaw Brook offering wild garlic (spring), elderberries, and blackberries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.588,-2.405",Bolton,Bolton,Bolton,Greater Manchester,BL2 1XN
True,,6,Jumbles Country Park Edges,Public Path,wild,river-forage,53.625,-2.402,Circular reservoir path with abundant elder and hawthorn berries and blackb...,Circular reservoir path with abundant elder and hawthorn berries and blackberries in late summer.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.625,-2.402",Bolton,Bolton,Bolton,Greater Manchester,BL2 4JS
True,,7,Incredible Edible Blackrod,Urban Foraging,vegetables,street-planters,53.595,-2.585,"Community planters at the library and high street with free herbs, vegetabl...","Community planters at the library and high street with free herbs, vegetables, and edible flowers.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.595,-2.585",Blackrod,Blackrod,Blackrod,Greater Manchester,BL6 5EE
True,,8,Leverhulme Park Riverside Foraging,Public Park,wild,river-forage,53.575,-2.408,"Linear paths along the River Croal with elderberries, wild cherries, and bl...","Linear paths along the River Croal with elderberries, wild cherries, and blackberries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.575,-2.408",Bolton,Bolton,Bolton,Greater Manchester,BL2 6BB
True,,9,Moses Gate Country Park Foraging,Nature Reserve,wild,mixed-forage,53.555,-2.405,"Vast riverside and wetland park offering sloes, elderberries, and heavy cro...","Vast riverside and wetland park offering sloes, elderberries, and heavy crops of blackberries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.555,-2.405",Farnworth,Farnworth,Farnworth,Greater Manchester,BL4 7QN
True,,10,Barrow Bridge Woodland Foraging,Woodland,wild,woodland,53.598,-2.475,Wooded valley trails providing hazelnuts and autumn berries in a picturesqu...,Wooded valley trails providing hazelnuts and autumn berries in a picturesque setting.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.598,-2.475",Bolton,Bolton,Bolton,Greater Manchester,BL1 7ND
True,,11,Incredible Edible Westhoughton,Urban Foraging,vegetables,street-planters,53.548,-2.525,Public planters along Market Street and near the community centre with free...,Public planters along Market Street and near the community centre with free herbs and greens.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.548,-2.525",Westhoughton,Westhoughton,Westhoughton,Greater Manchester,BL5 3AN
True,,12,Firwood Fold Hedgerow Foraging,Public Path,wild,hedgerow,53.592,-2.418,"Historic hamlet paths with rich hedgerows offering sloes, blackberries, and...","Historic hamlet paths with rich hedgerows offering sloes, blackberries, and rosehips.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.592,-2.418",Bolton,Bolton,Bolton,Greater Manchester,BL2 3AG
True,,13,Bradshaw Brook Wild Garlic,Public Path,wild,river-forage,53.605,-2.402,"Damp, shaded woodland edges along the brook, carpeted with wild garlic in t...","Damp, shaded woodland edges along the brook, carpeted with wild garlic in the spring.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.605,-2.402",Bolton,Bolton,Bolton,Greater Manchester,BL2 3DS
True,,14,Haslam Park Community Orchard,Community Orchard,fruits,tree-fruits,53.565,-2.462,A newer community orchard project within the park featuring various fruit t...,A newer community orchard project within the park featuring various fruit trees open for picking.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.565,-2.462",Bolton,Bolton,Bolton,Greater Manchester,BL3 3RR
True,,15,Eagley Valley Woodland Trail,Public Path,wild,mixed-forage,53.615,-2.435,"Riverside and woodland paths offering wild fruit, nuts, and autumn berries.","Riverside and woodland paths offering wild fruit, nuts, and autumn berries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.615,-2.435",Bolton,Bolton,Bolton,Greater Manchester,BL7 9DB
