approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
TRUE,,1,Sheffield Fruit Trees (Sharrow),Community Orchard,fruits,tree-fruits,53.368,-1.482,Sheffield Fruit Trees (Sharrow) in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Sheffield,Sheffield,Sheffield,West Riding (Historical),S11 8BU
TRUE,,2,Incredible Edible Barnsley (Town Centre),Incredible Edible,vegetables,urban-growing,53.552,-1.478,Incredible Edible Barnsley (Town Centre) in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, west riding, foraging, community",0,0,0,,,Summer,,,Barnsley,Barnsley,Barnsley,West Riding (Historical),S70 1GW
TRUE,,3,Rotherham Edible High Street,Incredible Edible,herbs,urban-growing,53.432,-1.358,Rotherham Edible High Street in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, west riding, foraging, community",0,0,0,,,Summer,,,Rotherham,Rotherham,Rotherham,West Riding (Historical),S60 1PH
TRUE,,4,Doncaster Community Orchard,Community Orchard,fruits,tree-fruits,53.522,-1.132,Doncaster Community Orchard in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Doncaster,Doncaster,Doncaster,West Riding (Historical),DN1 3BU
TRUE,,5,Heeley City Farm Edible Beds,Community Garden,vegetables,urban-growing,53.362,-1.468,Heeley City Farm Edible Beds in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Sheffield,Sheffield,Sheffield,West Riding (Historical),S2 3DT
TRUE,,6,Incredible Edible Wakefield (Bullring),Incredible Edible,herbs,urban-growing,53.682,-1.498,Incredible Edible Wakefield (Bullring) in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, west riding, foraging, community",0,0,0,,,Summer,,,Wakefield,Wakefield,Wakefield,West Riding (Historical),WF1 1HA
TRUE,,7,Conisbrough Community Orchard,Community Orchard,fruits,tree-fruits,53.482,-1.225,Conisbrough Community Orchard in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Conisbrough,Conisbrough,Conisbrough,West Riding (Historical),DN12 3HT
TRUE,,8,Sheffield Manor Lodge Edible Garden,Community Garden,herbs,historic,53.378,-1.438,Sheffield Manor Lodge Edible Garden in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Sheffield,Sheffield,Sheffield,West Riding (Historical),S2 1UJ
TRUE,,9,Penistone Community Orchard,Community Orchard,fruits,tree-fruits,53.525,-1.628,Penistone Community Orchard in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Penistone,Penistone,Penistone,West Riding (Historical),S36 6BS
TRUE,,10,Wath-upon-Dearne Edible Trail,Incredible Edible,fruits,urban-growing,53.502,-1.335,Wath-upon-Dearne Edible Trail in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, west riding, foraging, community",0,0,0,,,Summer,,,Rotherham,Rotherham,Rotherham,West Riding (Historical),S63 7RD
TRUE,,11,Grimethorpe Community Garden,Community Garden,vegetables,urban-growing,53.578,-1.372,Grimethorpe Community Garden in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Barnsley,Barnsley,Barnsley,West Riding (Historical),S72 7BB
TRUE,,12,Stocksbridge Community Orchard,Community Orchard,fruits,tree-fruits,53.482,-1.595,Stocksbridge Community Orchard in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Sheffield,Sheffield,Sheffield,West Riding (Historical),S36 1DH
TRUE,,13,Mexborough Incredible Edible Planters,Incredible Edible,herbs,urban-growing,53.495,-1.242,Mexborough Incredible Edible Planters in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, west riding, foraging, community",0,0,0,,,Summer,,,Doncaster,Doncaster,Doncaster,West Riding (Historical),S64 9HU
TRUE,,14,Cudworth Community Fruit Trees,Community Orchard,fruits,tree-fruits,53.568,-1.415,Cudworth Community Fruit Trees in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Barnsley,Barnsley,Barnsley,West Riding (Historical),S72 8XU
TRUE,,15,Swinton Edible Boundary,Foraging,fruits,hedgerow,53.485,-1.315,Swinton Edible Boundary in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Rotherham,Rotherham,Rotherham,West Riding (Historical),S64 8PZ
TRUE,,16,Bolton-on-Dearne Community Orchard,Community Orchard,fruits,tree-fruits,53.515,-1.315,Bolton-on-Dearne Community Orchard in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community orchard, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Rotherham,Rotherham,Rotherham,West Riding (Historical),S63 8BE
TRUE,,17,Darnall Community Garden,Community Garden,vegetables,urban-growing,53.385,-1.415,Darnall Community Garden in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Sheffield,Sheffield,Sheffield,West Riding (Historical),S9 4QH
TRUE,,18,Goldthorpe Incredible Edible Beds,Incredible Edible,vegetables,urban-growing,53.525,-1.292,Goldthorpe Incredible Edible Beds in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",6;7;8;9,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"incredible edible, west riding, foraging, community",0,0,0,,,Summer,,,Rotherham,Rotherham,Rotherham,West Riding (Historical),S63 9EE
TRUE,,19,River Don Path (Blackberries),Foraging,fruits,riverbank,53.395,-1.455,River Don Path (Blackberries) in the historical West Riding.,"A location in the historical West Riding for community growing or wild foraging, from South Yorkshire industrial heartlands to the Pennine edges.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, west riding, foraging, community",0,0,0,,,Summer/Autumn,,,Sheffield,Sheffield,Sheffield,West Riding (Historical),S9 2RX
