approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Shrewsbury Community Orchard,Community Orchard,fruits,tree-fruits,52.708,-2.752,Located at the Flaxmill Maltings. Features traditional Shropshire apple var...,Located at the Flaxmill Maltings. Features traditional Shropshire apple varieties and pears in an urban setting.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.708,-2.752",Shrewsbury,Shrewsbury,Shrewsbury,Shropshire,SY1 2JL
True,,2,Incredible Edible Shrewsbury,Urban Foraging,vegetables,street-planters,52.712,-2.755,Community planters at the library and town center with free-to-pick herbs a...,Community planters at the library and town center with free-to-pick herbs and seasonal vegetables.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.712,-2.755",Shrewsbury,Shrewsbury,Shrewsbury,Shropshire,SY1 1SP
True,,3,The Wrekin Foraging,Nature Reserve,wild,mixed-forage,52.668,-2.552,"Iconic hill with abundant blackberries, bilberries (autumn), and elderberri...","Iconic hill with abundant blackberries, bilberries (autumn), and elderberries on the lower slopes.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.668,-2.552",Wellington,Wellington,Wellington,Shropshire,TF6 5AL
True,,4,Oswestry Community Orchard,Community Orchard,fruits,tree-fruits,52.855,-3.055,Located at Cae Glas Park. Features traditional fruit trees open for public ...,Located at Cae Glas Park. Features traditional fruit trees open for public harvesting in late summer.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.855,-3.055",Oswestry,Oswestry,Oswestry,Shropshire,SY11 1AZ
True,,5,Incredible Edible Oswestry,Urban Foraging,vegetables,street-planters,52.858,-3.052,Public planters near the marketplace and library with free herbs and salads...,Public planters near the marketplace and library with free herbs and salads.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.858,-3.052",Oswestry,Oswestry,Oswestry,Shropshire,SY11 1PZ
True,,6,Haughmond Hill Foraging,Woodland,nuts,woodland,52.725,-2.675,"Ancient woodland known for sweet chestnuts, hazelnuts, and wild garlic in s...","Ancient woodland known for sweet chestnuts, hazelnuts, and wild garlic in spring.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.725,-2.675",Shrewsbury,Shrewsbury,Shrewsbury,Shropshire,SY4 4PW
True,,7,Ludlow Community Orchard,Community Orchard,fruits,tree-fruits,52.368,-2.718,Located at the Millennium Green. Features heritage apple varieties managed ...,Located at the Millennium Green. Features heritage apple varieties managed for the community.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.368,-2.718",Ludlow,Ludlow,Ludlow,Shropshire,SY8 1AZ
True,,8,Incredible Edible Ludlow,Urban Foraging,vegetables,street-planters,52.365,-2.715,Community planters at the marketplace and station with free herbs and veg.,Community planters at the marketplace and station with free herbs and veg.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.365,-2.715",Ludlow,Ludlow,Ludlow,Shropshire,SY8 1BA
True,,9,Telford Incredible Edible,Urban Foraging,vegetables,street-planters,52.675,-2.445,Public planters in the town center and Southwater with edible perennials an...,Public planters in the town center and Southwater with edible perennials and herbs.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.675,-2.445",Telford,Telford,Telford,Shropshire,TF3 4JU
True,,10,Bridgnorth Community Orchard,Community Orchard,fruits,tree-fruits,52.535,-2.418,Located at the Castle Grounds. Historic fruit trees open for public harvest...,Located at the Castle Grounds. Historic fruit trees open for public harvesting.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.535,-2.418",Bridgnorth,Bridgnorth,Bridgnorth,Shropshire,WV16 4BA
True,,11,Church Stretton Hills Foraging,Nature Reserve,wild,mixed-forage,52.538,-2.805,"Long Mynd edges with bilberries, blackberries, and wild strawberries in sum...","Long Mynd edges with bilberries, blackberries, and wild strawberries in summer.",,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.538,-2.805",Church Stretton,Church Stretton,Church Stretton,Shropshire,SY6 6AB
True,,12,Whitchurch Community Orchard,Community Orchard,fruits,tree-fruits,52.968,-2.685,Located at Jubilee Park. Features local Shropshire apple varieties for pick...,Located at Jubilee Park. Features local Shropshire apple varieties for picking.,,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,"https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,,,,,,,8;9;10,,https://www.google.com/maps/search/?api=1&query=No+Man's+Community+Orchard,Chartham052.968,-2.685",Whitchurch,Whitchurch,Whitchurch,Shropshire,SY13 1AF
