approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Meanwood Valley Urban Farm Orchard,Community Orchard,fruits,tree-fruits,53.822,-1.555,Community farm featuring an orchard with traditional apple and pear varieti...,Community farm featuring an orchard with traditional apple and pear varieties open to visitors.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.822,-1.555",Leeds,Leeds,Leeds,West Yorkshire,LS7 2QG
True,,2,Incredible Edible Leeds (City Centre),Urban Foraging,vegetables,street-planters,53.795,-1.542,Public planters in the city centre managed for free harvesting of herbs and...,Public planters in the city centre managed for free harvesting of herbs and seasonal salads.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.795,-1.542",Leeds,Leeds,Leeds,West Yorkshire,LS1 6DG
True,,3,Roundhay Park Foraging Edges,Public Park,wild,mixed-forage,53.838,-1.505,"One of Europe's largest parks. Shaded edges offer wild garlic (spring), bla...","One of Europe's largest parks. Shaded edges offer wild garlic (spring), blackberries, and elderberries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.838,-1.505",Leeds,Leeds,Leeds,West Yorkshire,LS8 2ER
True,,4,Kirkstall Abbey Fruit Trees,Community Orchard,fruits,tree-fruits,53.818,-1.605,Historic abbey grounds with seasonal fruit trees and wild fruit bushes alon...,Historic abbey grounds with seasonal fruit trees and wild fruit bushes along the river bank.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.818,-1.605",Leeds,Leeds,Leeds,West Yorkshire,LS5 3EH
True,,5,Bedford Field Community Forest Garden,Community Orchard,fruits,mixed-edibles,53.815,-1.548,"A diverse forest garden in Woodhouse with perennial vegetables, soft fruit,...","A diverse forest garden in Woodhouse with perennial vegetables, soft fruit, and nut trees.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.815,-1.548",Leeds,Leeds,Leeds,West Yorkshire,LS7 2NX
True,,6,Golden Acre Park Foraging,Public Park,wild,woodland,53.872,-1.588,"Woodland trails providing hazelnuts, sweet chestnuts, and autumn berries.","Woodland trails providing hazelnuts, sweet chestnuts, and autumn berries.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.872,-1.588",Leeds,Leeds,Leeds,West Yorkshire,LS16 8BQ
True,,7,Incredible Edible Leeds (Garforth),Urban Foraging,vegetables,street-planters,53.792,-1.385,Community planters at Garforth station and high street with free herbs and ...,Community planters at Garforth station and high street with free herbs and greens.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.792,-1.385",Garforth,Garforth,Garforth,West Yorkshire,LS25 1HB
True,,8,Woodhouse Ridge Foraging Trail,Public Path,wild,woodland,53.818,-1.558,"Wooded ridge path with abundant wild garlic, blackberries, and elderflowers...","Wooded ridge path with abundant wild garlic, blackberries, and elderflowers.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.818,-1.558",Leeds,Leeds,Leeds,West Yorkshire,LS6 2AY
True,,9,Gledhow Valley Woods Foraging,Nature Reserve,wild,mixed-forage,53.828,-1.528,"Linear woodland offering wild cherries, blackberries, and sloes.","Linear woodland offering wild cherries, blackberries, and sloes.",,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.828,-1.528",Leeds,Leeds,Leeds,West Yorkshire,LS8 1PQ
True,,10,Incredible Edible Leeds (Chapel Allerton),Urban Foraging,vegetables,street-planters,53.825,-1.538,Raised beds near the village centre shops featuring culinary herbs for loca...,Raised beds near the village centre shops featuring culinary herbs for local pickers.,,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,,,,,,,8;9;10,,"http://maps.google.com/?q=53.825,-1.538",Leeds,Leeds,Leeds,West Yorkshire,LS7 3PW
